hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Discount,market_segment,Cost,meal
"Resort Hotel",1,85,2018,July,27,1,0,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,82,0,1,Canceled,5/6/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,75,2018,July,27,1,0,3,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",15,NULL,0,Transient,105.5,0,0,Canceled,4/22/2018,0.3,"Offline TA/TO",17.99,HB
"Resort Hotel",1,23,2018,July,27,1,0,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,123,0,0,Canceled,6/23/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,60,2018,July,27,1,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,107,0,2,Canceled,5/11/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,96,2018,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,"No Deposit",NULL,NULL,0,Transient,108.3,0,2,Canceled,5/29/2018,0.1,Direct,12.99,BB
"Resort Hotel",1,45,2018,July,27,2,1,3,3,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",241,NULL,0,Transient,108.8,0,1,Canceled,5/19/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,40,2018,July,27,2,1,3,3,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",241,NULL,0,Transient,108.8,0,1,Canceled,6/19/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,43,2018,July,27,2,1,3,3,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",241,NULL,0,Transient,108.8,0,0,Canceled,5/23/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,45,2018,July,27,2,2,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",241,NULL,0,Transient,117.81,0,0,Canceled,5/18/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,47,2018,July,27,2,2,5,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,153,0,0,Canceled,6/2/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,3,2018,July,27,2,0,3,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,136.33,0,2,Canceled,6/29/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,71,2018,July,27,3,0,2,3,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",242,NULL,0,Transient,110.3,0,2,Canceled,6/16/2018,0.3,"Offline TA/TO",12.99,BB
"Resort Hotel",1,63,2018,July,27,3,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,82,0,2,Canceled,6/18/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,62,2018,July,27,3,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,97,0,1,Canceled,7/3/2018,NULL,NULL,12.99,BB
